Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
F,0.535,0.4,medium,0.8045,0.3345,0.2125,0.21,13
F,0.67,0.54,medium,1.5015,0.518,0.358,0.505,14
M,0.6,0.5,medium,1.015,0.3995,0.1735,0.33,19
F,0.595,0.465,medium,0.7955,0.3425,0.1795,0.2425,10
M,0.605,0.475,large,1.2009999999999998,0.5395,0.275,0.309,10
F,0.51,0.395,small,0.6175,0.262,0.122,0.193,12
I,0.34,0.25,tiny,0.2225,0.10400000000000001,0.0425,0.055,7
I,0.515,0.35,tiny,0.4745,0.213,0.12300000000000001,0.1275,10
F,0.71,0.54,large,1.5805,0.802,0.287,0.435,10
F,0.685,0.535,large,1.5845,0.7175,0.3775,0.4215,9
I,0.36,0.26,tiny,0.1785,0.0645,0.037000000000000005,0.075,7
M,0.57,0.435,small,0.7535,0.349,0.1755,0.19399999999999998,10
M,0.65,0.5,small,1.238,0.6165,0.2355,0.32,8
F,0.58,0.465,medium,1.1015,0.40399999999999997,0.2095,0.35,11
F,0.47,0.365,tiny,0.4205,0.163,0.1035,0.14,9
M,0.64,0.505,medium,1.4435,0.6145,0.3035,0.39,18
F,0.595,0.47,medium,1.0155,0.491,0.1905,0.289,9
M,0.625,0.48,medium,1.2415,0.6575,0.2625,0.2785,9
F,0.475,0.38,small,0.6890000000000001,0.3165,0.1315,0.1955,7
M,0.59,0.46,small,1.102,0.455,0.2055,0.33,12
M,0.635,0.5,large,1.1540000000000001,0.4405,0.2315,0.387,9
M,0.69,0.525,large,1.7005,0.8255,0.36200000000000004,0.405,8
F,0.62,0.485,large,1.511,0.5095,0.284,0.51,17
F,0.515,0.4,large,0.7959999999999999,0.258,0.1755,0.28,16
M,0.5,0.405,small,0.6155,0.24100000000000002,0.1355,0.205,9
I,0.425,0.325,tiny,0.317,0.135,0.048,0.09,8
I,0.355,0.28,tiny,0.2905,0.095,0.0395,0.115,7
F,0.595,0.46,medium,1.0455,0.4565,0.24,0.3085,10
F,0.47,0.355,small,0.5465,0.2005,0.126,0.185,14
I,0.51,0.375,medium,0.8415,0.3845,0.156,0.255,10
I,0.53,0.43,small,0.677,0.298,0.0965,0.23,8
F,0.635,0.485,medium,1.2695,0.5635,0.3065,0.3395,11
I,0.32,0.205,tiny,0.18100000000000002,0.08800000000000001,0.034,0.0495,5
M,0.45,0.335,small,0.4625,0.16399999999999998,0.076,0.15,14
I,0.515,0.395,small,,0.32,0.14,0.17,8
M,0.6,0.495,large,1.0575,0.384,0.19,0.375,26
F,0.495,0.385,small,0.6625,0.3005,0.1635,0.185,11
M,0.54,0.435,small,0.7345,0.33,0.1595,0.213,9
M,0.35,0.255,tiny,0.179,0.0705,0.0385,0.06,10
F,0.51,0.37,large,1.183,0.508,0.292,0.34299999999999997,9
M,0.56,0.44,small,0.8255,0.2425,0.20199999999999999,0.285,10
I,0.485,0.355,small,0.581,0.245,0.132,0.168,12
I,0.495,0.33,tiny,0.44,0.177,0.095,0.15,7
F,0.665,0.51,large,1.3805,0.675,0.2985,0.325,10
F,0.515,0.39,small,,0.1975,0.13,0.1845,9
I,0.24,0.175,tiny,0.07,0.0315,0.0235,0.02,5
I,0.37,0.275,tiny,,0.094,0.045,0.065,7
M,0.595,0.48,large,1.1785,0.526,0.2975,0.314,10
I,0.465,0.37,tiny,0.534,0.261,0.098,0.14300000000000002,7
M,0.63,0.485,medium,1.062,0.5065,0.1785,0.3365,12
F,0.53,0.41,medium,0.8255,0.375,0.204,0.245,9
I,0.24,0.185,tiny,0.0655,0.0295,0.0005,0.02,4
F,0.65,0.515,large,1.4980000000000002,0.564,0.32299999999999995,0.425,16
F,0.57,0.435,small,0.8085,0.3235,0.183,0.22,16
M,0.585,0.455,small,0.97,0.462,0.185,0.295,9
M,0.575,0.475,medium,0.857,0.3665,0.17300000000000001,0.26899999999999996,9
M,0.725,0.55,large,1.51,0.8735,0.4265,0.5085,9
F,0.58,0.435,medium,0.8390000000000001,0.3485,0.207,0.192,7
M,0.54,0.42,small,,0.392,0.1455,0.2235,9
F,0.54,0.435,large,0.892,0.322,0.174,0.335,13
M,0.455,0.355,small,0.4745,0.1865,0.0935,0.168,13
M,0.66,0.515,large,1.5655,0.7345,0.353,0.386,9
I,0.375,0.28,tiny,0.226,0.105,0.047,0.065,6
I,0.475,0.35,small,0.4905,0.2035,0.13,0.135,7
M,0.59,0.47,medium,,0.48100000000000004,0.23199999999999998,0.24,8
I,0.37,0.275,tiny,0.2295,0.0885,0.0465,0.07,7
M,0.55,0.45,medium,1.0145,0.40700000000000003,0.2015,0.2875,10
I,0.385,0.265,tiny,0.251,0.124,0.037000000000000005,0.07,6
F,0.68,0.515,large,1.6185,0.5125,0.409,0.62,12
I,0.33,0.24,tiny,0.163,0.0745,0.033,0.048,6
F,0.595,0.43,large,1.5245,0.653,0.396,0.41,11
F,0.52,0.425,medium,0.9885,0.396,0.225,0.32,16
F,0.51,0.385,small,0.632,0.282,0.145,0.17,8
F,0.29,0.21,tiny,0.275,0.113,0.0675,0.035,6
I,0.33,0.255,tiny,0.1655,0.063,0.039,0.06,8
M,0.37,0.28,tiny,0.2225,0.0805,0.051,0.075,7
M,0.32,0.24,tiny,0.17,0.0655,0.047,0.049,7
I,0.37,0.28,tiny,,0.1095,0.035,0.062,6
F,0.655,0.5,small,,0.5405,0.3175,0.285,12
F,0.52,0.4,small,0.6245,0.215,0.2065,0.17,15
I,0.385,0.285,tiny,0.244,0.1215,0.0445,0.068,8
F,0.7,0.525,large,1.6465,0.8545,0.307,0.3995,9
I,0.54,0.425,small,0.6859999999999999,0.3475,0.1545,0.213,8
F,0.535,0.42,medium,0.7365,0.2785,0.18600000000000003,0.215,14
F,0.6,0.45,small,0.8690000000000001,0.3425,0.195,0.29100000000000004,11
M,0.525,0.43,medium,0.8645,0.376,0.1945,0.2515,16
M,0.385,0.305,tiny,0.2775,0.109,0.0515,0.1,9
F,0.55,0.465,large,1.2125,0.3245,0.205,0.525,27
I,0.375,0.26,tiny,0.2075,0.09,0.0415,0.07,6
I,0.54,0.4,medium,0.757,0.315,0.18100000000000002,0.215,11
F,0.62,0.51,large,1.1255,0.4985,0.22699999999999998,0.315,14
F,0.305,0.23,tiny,0.156,0.0675,0.0345,0.048,7
M,0.62,0.495,large,,0.579,0.34600000000000003,0.5195,15
M,0.49,0.385,small,0.609,0.3065,0.096,0.1775,8
M,0.655,0.54,medium,1.403,0.6955,0.2385,0.42,11
I,0.48,0.38,small,0.523,0.2105,0.1045,0.175,15
F,0.73,0.575,large,,0.9309999999999999,0.38,0.4825,12
I,0.59,0.475,medium,0.9745,0.4675,0.207,0.259,10
F,0.62,0.48,large,1.2215,0.5820000000000001,0.2695,0.313,12
F,0.53,0.425,small,0.7585,0.325,0.19699999999999998,0.205,8
F,0.625,0.49,large,1.1075,0.4485,0.2165,0.3595,8
M,0.59,0.465,medium,1.115,0.5165,0.273,0.275,10
F,0.51,0.4,small,0.7005,0.34700000000000003,0.1105,0.195,10
I,0.27,0.195,tiny,0.102,0.045,0.0135,0.034,8
M,0.475,0.375,small,0.593,0.27699999999999997,0.115,0.18,10
M,0.58,0.43,small,0.7979999999999999,0.365,0.17300000000000001,0.2285,10
F,0.435,0.325,tiny,,0.17800000000000002,0.0985,0.155,7
I,0.41,0.305,tiny,0.2645,0.1,0.0655,0.085,7
I,0.17,0.125,tiny,,0.009000000000000001,0.0055,0.008,6
F,0.64,0.525,large,1.7790000000000001,0.4535,0.2855,0.55,22
I,0.59,0.445,small,0.7715,0.32799999999999996,0.1745,0.23,9
M,0.385,0.255,tiny,0.3175,0.13699999999999998,0.068,0.092,8
M,0.455,0.375,small,,0.2155,0.102,0.165,7
I,0.28,0.2,tiny,0.1225,0.0545,0.0115,0.035,5
I,0.235,0.175,tiny,0.067,0.027000000000000003,0.0125,0.018000000000000002,6
F,0.625,0.52,large,1.354,0.4845,0.35100000000000003,0.375,11
I,0.44,0.33,small,0.4095,0.163,0.1005,0.11900000000000001,6
M,0.52,0.435,large,0.973,0.2985,0.2135,0.355,18
F,0.49,0.38,small,0.539,0.22899999999999998,0.1355,0.165,12
F,0.625,0.515,medium,1.264,0.5715,0.326,0.321,9
I,0.435,0.3,small,0.5965,0.259,0.139,0.1645,8
M,0.67,0.51,large,1.5945,0.6705,0.3845,0.4505,10
I,0.365,0.275,tiny,0.2345,0.10800000000000001,0.051,0.0625,7
M,0.595,0.48,small,0.9125,0.4095,0.1825,0.289,9
I,0.32,0.23,tiny,0.129,0.0615,0.0275,0.0355,7
F,0.595,0.475,large,1.247,0.48,0.225,0.425,20
I,0.45,0.335,tiny,0.3505,0.1615,0.0625,0.1185,7
M,0.67,0.55,large,,0.47200000000000003,0.2455,0.4,21
M,0.505,0.385,medium,0.6775,0.23600000000000002,0.179,0.2,15
F,0.525,0.41,medium,0.708,0.27399999999999997,0.151,0.25,12
F,0.495,0.4,medium,0.6445,0.242,0.1325,0.205,17
M,0.57,0.45,small,1.02,0.546,0.204,0.25,9
M,0.545,0.45,medium,,0.3365,0.1905,0.3,11
M,0.76,0.575,large,,0.7035,0.386,0.56,14
F,0.385,0.305,tiny,0.3315,0.1365,0.0745,0.1,7
M,0.61,0.47,medium,1.0325,0.49700000000000005,0.2175,0.2785,9
M,0.62,0.48,medium,1.0855,0.48100000000000004,0.2575,0.305,10
F,0.41,0.32,tiny,0.387,0.165,0.1005,0.0985,11
M,0.615,0.475,large,1.337,0.5995,0.2815,0.37,11
I,0.545,0.43,small,0.772,0.289,0.19,0.2615,8
I,0.245,0.175,tiny,0.0785,0.04,0.018000000000000002,0.02,5
M,0.51,0.4,small,0.6905,0.259,0.151,0.23,10
F,0.665,0.57,large,1.5219999999999998,0.6965,0.3025,0.405,13
M,0.59,0.44,medium,0.9555,0.366,0.2425,0.295,11
I,0.27,0.195,tiny,0.1065,0.0475,0.0225,0.0285,5
F,0.655,0.525,large,1.3595,0.564,0.3215,0.3985,10
F,0.535,0.41,small,,0.335,0.14400000000000002,0.2075,9
I,0.32,0.24,tiny,0.131,0.0615,0.0265,0.038,6
M,0.295,0.225,tiny,0.1385,0.048,0.046,0.05,9
F,0.55,0.43,small,0.9229999999999999,0.4035,0.175,0.28300000000000003,8
F,0.55,0.43,medium,0.655,0.2635,0.122,0.221,8
M,0.61,0.475,medium,1.168,0.5539999999999999,0.239,0.3295,10
I,0.16,0.11,tiny,0.018000000000000002,0.0065,0.0055,0.005,3
I,0.36,0.28,tiny,0.2255,0.0885,0.04,0.09,8
I,0.5,0.375,small,0.5495,0.248,0.11199999999999999,0.1585,7
M,0.6,0.455,large,1.1915,0.696,0.2395,0.24,8
M,0.615,0.48,large,1.36,0.5305,0.2375,0.47,18
F,0.555,0.425,small,0.7879999999999999,0.282,0.1595,0.285,11
I,0.435,0.335,tiny,0.33399999999999996,0.1355,0.0775,0.0965,7
F,0.695,0.535,large,1.5855,0.667,0.33399999999999996,0.47100000000000003,11
M,0.575,0.45,small,0.9215,0.354,0.209,0.2365,9
F,0.445,0.33,tiny,0.4525,0.18,0.10300000000000001,0.12300000000000001,9
M,0.66,0.525,large,1.4780000000000002,0.5815,0.381,0.37200000000000005,10
I,0.535,0.45,small,0.728,0.2845,0.1845,0.265,9
M,0.6,0.465,medium,1.0475,0.465,0.2345,0.315,11
M,0.695,0.53,large,1.726,0.7625,0.436,0.455,11
F,0.57,0.465,medium,0.872,0.3245,0.239,0.285,14
F,0.7,0.575,large,1.31,0.5095,0.314,0.42,14
M,0.665,0.5,large,1.2975,0.6075,0.314,0.315,9
M,0.475,0.37,small,0.537,0.222,0.1215,0.15,9
F,0.55,0.43,medium,0.785,0.289,0.22699999999999998,0.233,11
M,0.6,0.465,medium,1.262,0.6245,0.2455,0.33,10
M,0.535,0.41,small,0.6835,0.3125,0.1655,0.159,8
I,0.51,0.38,tiny,0.5155,0.215,0.1135,0.166,8
M,0.605,0.465,medium,1.056,0.4215,0.2475,0.34,13
I,0.545,0.435,small,,0.37200000000000005,0.14800000000000002,0.22699999999999998,8
F,0.66,0.525,large,1.463,0.6525,0.2995,0.42200000000000004,11
M,0.61,0.48,medium,1.2435,0.5575,0.2675,0.37200000000000005,8
I,0.315,0.235,tiny,0.1285,0.051,0.027999999999999997,0.0405,4
F,0.65,0.525,large,1.4225,0.61,0.2995,0.445,20
M,0.69,0.53,large,,0.6779999999999999,0.331,0.48,10
F,0.585,0.475,large,0.9585,0.4145,0.1615,0.33,11
I,0.54,0.415,tiny,0.619,0.2755,0.15,0.1765,10
I,0.47,0.37,small,0.4985,0.2095,0.1225,0.145,10
M,0.545,0.42,small,0.879,0.374,0.1695,0.23,13
M,0.36,0.295,small,0.2765,0.0895,0.057,0.1005,10
F,0.45,0.345,tiny,0.496,0.1905,0.11699999999999999,0.14,12
I,0.56,0.455,medium,0.9740000000000001,0.547,0.1615,0.235,9
M,0.6,0.495,large,1.1145,0.5055,0.2635,0.36700000000000005,11
F,0.63,0.5,large,1.1105,0.467,0.268,0.32899999999999996,10
I,0.29,0.21,tiny,0.1115,0.048,0.0205,0.03,5
M,0.765,0.6,large,2.302,1.0070000000000001,0.509,0.6205,12
I,0.66,0.525,large,1.786,0.6725,0.3615,0.4065,11
F,0.63,0.5,large,1.3135,0.5595,0.267,0.4,20
M,0.675,0.525,large,1.402,0.483,0.3205,0.465,16
I,0.465,0.355,small,0.5805,0.255,0.0915,0.184,8
I,0.465,0.355,tiny,0.4325,0.2005,0.07400000000000001,0.1275,9
M,0.6,0.47,medium,1.0590000000000002,0.504,0.24100000000000002,0.275,9
M,0.57,0.46,medium,1.0375,0.5415,0.2035,0.25,9
M,0.565,0.45,tiny,0.9085,0.39799999999999996,0.19699999999999998,0.29,17
M,0.565,0.455,medium,0.9595,0.4565,0.2395,0.23,9
F,0.605,0.455,medium,,0.46799999999999997,0.1775,0.275,9
M,0.63,0.47,medium,1.1355,0.539,0.2325,0.3115,12
M,0.55,0.43,medium,0.8745,0.413,0.1905,0.248,9
I,0.46,0.345,tiny,0.3755,0.1525,0.057999999999999996,0.125,7
F,0.66,0.525,large,1.3665,0.5005,0.29100000000000004,0.41,18
F,0.47,0.36,tiny,0.4705,0.1635,0.08900000000000001,0.1385,8
M,0.37,0.28,tiny,0.22399999999999998,0.0815,0.0575,0.075,8
F,0.57,0.445,medium,1.0170000000000001,0.5265,0.2025,0.265,10
F,0.605,0.515,large,,0.6,0.2945,0.3315,9
F,0.63,0.49,large,1.2155,0.4625,0.2045,0.3105,10
M,0.625,0.49,medium,1.205,0.5175,0.3105,0.3465,10
I,0.55,0.42,medium,0.912,0.495,0.1805,0.205,9
M,0.54,0.415,small,0.8245,0.272,0.226,0.24,13
F,0.655,0.54,large,1.5555,0.695,0.29600000000000004,0.444,11
F,0.57,0.46,large,1.1,0.4125,0.2205,0.38,14
I,0.57,0.43,medium,0.833,0.354,0.14400000000000002,0.2815,10
M,0.265,0.2,tiny,0.084,0.034,0.0105,0.03,7
I,0.075,0.055,tiny,0.002,0.001,0.0005,0.0015,1
I,0.475,0.36,small,,0.205,0.1305,0.125,8
M,0.575,0.45,small,0.785,0.318,0.193,0.2265,9
M,0.615,0.505,medium,,0.4895,0.2955,0.345,10
F,0.505,0.39,small,0.5445,0.24600000000000002,0.15,0.1405,7
M,0.5,0.4,small,,0.336,0.12,0.1825,7
F,0.46,0.375,small,0.4915,0.2205,0.08800000000000001,0.17,7
F,0.57,0.455,medium,1.0595,0.44,0.2195,0.285,14
I,0.515,0.42,small,0.711,0.337,0.14400000000000002,0.205,13
I,0.52,0.41,tiny,0.5185,0.2165,0.0915,0.184,8
M,0.6,0.475,large,,0.522,0.2235,0.36,11
F,0.735,0.565,large,2.037,0.87,0.5145,0.5675,13
F,0.625,0.49,medium,1.2085,0.465,0.162,0.41100000000000003,11
I,0.35,0.28,tiny,0.196,0.08199999999999999,0.04,0.064,8
F,0.68,0.55,large,1.7445,0.5975,0.305,0.625,17
M,0.645,0.51,large,1.4865,0.6445,0.29600000000000004,0.425,12
I,0.475,0.35,tiny,0.4565,0.20600000000000002,0.099,0.13,6
M,0.545,0.41,small,0.737,0.349,0.15,0.212,9
M,0.475,0.36,small,0.5135,0.24100000000000002,0.1045,0.155,8
M,0.64,0.525,large,1.3135,0.4865,0.2995,0.4075,10
F,0.72,0.565,large,1.6130000000000002,0.723,0.3255,0.4945,12
I,0.45,0.36,small,0.45,0.191,0.0865,0.145,12
F,0.615,0.485,medium,1.1575,0.5005,0.2495,0.315,10
M,0.705,0.555,large,2.141,1.0465,0.38299999999999995,0.528,11
F,0.44,0.355,tiny,0.415,0.1585,0.0925,0.131,11
M,0.615,0.46,large,,0.4815,0.272,0.27,10
M,0.68,0.52,large,1.4535,0.5920000000000001,0.391,0.4125,10
I,0.545,0.4,small,0.6859999999999999,0.3285,0.1455,0.18,9
M,0.545,0.42,small,0.9745,0.353,0.174,0.305,13
M,0.37,0.28,tiny,,0.0905,0.0585,0.075,9
I,0.395,0.31,tiny,,0.131,0.07200000000000001,0.09300000000000001,7
M,0.515,0.4,medium,0.8175,0.2515,0.156,0.3,23
F,0.455,0.365,tiny,0.385,0.166,0.046,0.1345,13
I,0.37,0.28,tiny,0.2565,0.1255,0.0645,0.0645,6
M,0.635,0.48,medium,1.181,0.665,0.22899999999999998,0.225,10
I,0.165,0.12,tiny,0.021,0.0075,0.0045,0.013999999999999999,3
M,0.46,0.35,small,0.5165,0.1885,0.1145,0.185,9
F,0.705,0.55,large,,0.633,0.4115,0.49,13
M,0.61,0.485,large,1.281,0.597,0.3035,0.33,9
M,0.68,0.535,large,1.607,0.7245,0.3215,0.498,12
F,0.645,0.48,large,1.371,0.6925,0.2905,0.35,12
I,0.545,0.42,small,0.7170000000000001,0.358,0.11199999999999999,0.22,8
I,0.38,0.275,tiny,0.2255,0.08,0.049,0.085,10
F,0.565,0.45,small,0.9885,0.387,0.1495,0.31,12
I,0.55,0.445,small,0.672,0.28800000000000003,0.1365,0.21,11
F,0.705,0.555,large,1.7525,0.7105,0.4215,0.516,12
M,0.575,0.435,small,0.8455,0.401,0.191,0.222,9
I,0.46,0.345,tiny,0.4215,0.1895,0.102,0.111,6
M,0.69,0.515,large,1.8445,0.9815,0.4655,0.341,13
M,0.595,0.465,large,1.115,0.4015,0.254,0.39,13
M,0.57,0.455,medium,0.9520000000000001,0.3895,0.2155,0.2745,9
I,0.385,0.29,tiny,0.2615,0.111,0.0595,0.0745,9
F,0.67,0.505,large,1.3645,0.6075,0.3025,0.353,9
F,0.44,0.345,large,0.4085,0.15,0.0825,0.1515,12
M,0.645,0.495,large,1.5390000000000001,0.6115,0.408,0.445,12
M,0.465,0.35,small,,0.2015,0.1625,0.185,11
F,0.56,0.43,medium,0.8825,0.3465,0.172,0.31,9
I,0.44,0.35,small,0.375,0.1425,0.0965,0.115,9
F,0.63,0.475,medium,1.072,0.433,0.2975,0.315,8
F,0.63,0.505,large,1.306,0.516,0.3305,0.375,9
F,0.8,0.63,large,2.526,0.9329999999999999,0.59,0.62,23
F,0.565,0.44,medium,0.983,0.4475,0.2355,0.2485,9
M,0.65,0.495,large,1.7930000000000001,0.8005,0.33899999999999997,0.53,14
M,0.455,0.34,small,0.462,0.1675,0.158,0.12,9
M,0.465,0.36,tiny,0.431,0.172,0.107,0.175,9
F,0.65,0.545,large,1.7519999999999998,0.5605,0.2895,0.815,16
I,0.325,0.25,tiny,,0.0765,0.0345,0.049,7
M,0.64,0.585,large,1.6469999999999998,0.7225,0.331,0.47100000000000003,12
M,0.58,0.445,small,0.8140000000000001,0.3775,0.1915,0.22,9
M,0.41,0.31,small,0.3595,0.1415,0.0885,0.115,11
M,0.7,0.53,large,,0.5479999999999999,0.233,0.42,18
M,0.56,0.45,large,1.011,0.3835,0.2065,0.37,15
I,0.43,0.34,tiny,0.4405,0.2385,0.0745,0.1075,6
M,0.705,0.56,medium,1.675,0.797,0.4095,0.38799999999999996,10
I,0.455,0.33,tiny,0.37200000000000005,0.358,0.0775,0.11,8
F,0.625,0.485,medium,1.0945,0.531,0.261,0.29600000000000004,10
F,0.725,0.565,large,2.1425,1.03,0.48700000000000004,0.503,14
I,0.225,0.165,tiny,0.059000000000000004,0.027000000000000003,0.0125,0.015,4
I,0.605,0.47,small,0.9390000000000001,0.3385,0.201,0.32,13
F,0.535,0.435,medium,0.8105,0.3155,0.1795,0.24,10
M,0.59,0.47,medium,1.206,0.479,0.2425,0.309,8
F,0.575,0.48,medium,1.078,0.511,0.2095,0.306,9
F,0.535,0.415,large,0.8415,0.314,0.1585,0.3,15
I,0.42,0.315,tiny,0.4025,0.1855,0.083,0.1015,8
I,0.37,0.27,tiny,0.23199999999999998,0.1325,0.040999999999999995,0.0615,6
F,0.605,0.505,large,1.4340000000000002,0.7285,0.264,0.431,11
M,0.515,0.42,small,0.769,0.2505,0.154,0.29,13
I,0.555,0.425,large,,0.3695,0.2005,0.255,11
M,0.585,0.475,medium,1.065,0.5315,0.19899999999999998,0.2885,10
M,0.515,0.395,small,1.0070000000000001,0.47200000000000003,0.2495,0.252,8
F,0.585,0.455,small,0.8755,0.41100000000000003,0.2065,0.225,8
F,0.52,0.405,small,0.627,0.2645,0.1415,0.18100000000000002,11
F,0.465,0.36,small,0.4765,0.192,0.1125,0.16,10
I,0.425,0.3,tiny,0.3515,0.141,0.0775,0.12,8
M,0.53,0.435,medium,0.883,0.316,0.16399999999999998,0.335,15
I,0.375,0.275,tiny,0.22,0.109,0.05,0.0605,7
I,0.52,0.41,medium,0.6459999999999999,0.2965,0.1595,0.165,9
I,0.62,0.485,large,1.208,0.4805,0.3045,0.33,15
M,0.665,0.52,large,1.3725,0.606,0.32,0.395,12
F,0.595,0.44,small,0.9640000000000001,0.5005,0.1715,0.2575,10
I,0.375,0.29,tiny,,0.0925,0.038,0.075,6
F,0.645,0.48,large,1.1345,0.528,0.254,0.305,10
F,0.57,0.45,medium,0.9715,0.3965,0.255,0.26,12
I,0.57,0.445,medium,0.867,0.3705,0.1705,0.28,9
M,0.64,0.485,medium,1.006,0.456,0.2245,0.2835,9
F,0.56,0.445,medium,1.224,0.5565,0.3225,0.2695,10
I,0.38,0.3,tiny,,0.1305,0.055999999999999994,0.09,7
M,0.62,0.46,large,1.127,0.535,0.2635,0.29600000000000004,7
F,0.615,0.475,medium,1.004,0.4475,0.193,0.2895,10
M,0.67,0.525,large,1.6615,0.8005,0.3645,0.43,10
I,0.41,0.3,tiny,0.282,0.1255,0.057,0.0875,7
F,0.505,0.385,small,,0.251,0.1175,0.2,12
M,0.655,0.52,large,1.492,0.7185,0.36,0.355,11
M,0.695,0.545,large,1.5715,0.6645,0.3835,0.4505,13
I,0.54,0.42,small,0.6665,0.3125,0.138,0.1895,10
F,0.68,0.55,large,1.473,0.713,0.282,0.4295,11
F,0.405,0.325,tiny,0.3555,0.151,0.063,0.11699999999999999,9
I,0.445,0.345,small,0.4035,0.16899999999999998,0.0825,0.13,7
I,0.55,0.425,medium,0.8059999999999999,0.376,0.171,0.245,14
F,0.575,0.425,medium,0.8765,0.455,0.18,0.228,8
F,0.545,0.44,small,,0.429,0.2015,0.2375,10
I,0.475,0.36,tiny,0.452,0.191,0.099,0.13,8
M,0.52,0.42,medium,0.745,0.255,0.157,0.2885,11
I,0.44,0.355,small,0.495,0.231,0.11,0.125,7
F,0.635,0.49,large,1.2435,0.5805,0.313,0.305,10
M,0.615,0.505,medium,1.34,0.5315,0.2815,0.41,12
I,0.34,0.265,tiny,0.185,0.0625,0.0395,0.07,7
M,0.505,0.39,tiny,0.5585,0.2575,0.11900000000000001,0.1535,8
I,0.37,0.29,tiny,0.2545,0.10800000000000001,0.0565,0.07,6
M,0.53,0.405,small,0.6515,0.2715,0.1605,0.18600000000000003,7
F,0.68,0.5,large,1.7409999999999999,0.7665,0.3255,0.4685,12
M,0.45,0.32,tiny,0.381,0.1705,0.075,0.115,9
F,0.66,0.52,large,1.514,0.526,0.2975,0.42,19
M,0.73,0.575,large,,0.9285,0.409,0.643,11
F,0.575,0.47,medium,0.8690000000000001,0.435,0.19699999999999998,0.23800000000000002,9
M,0.325,0.23,tiny,0.147,0.06,0.034,0.045,4
M,0.55,0.41,medium,0.785,0.282,0.18600000000000003,0.275,12
M,0.585,0.465,large,1.171,0.3905,0.2355,0.4,17
I,0.53,0.395,small,0.575,0.247,0.115,0.183,9
F,0.56,0.45,medium,1.0235,0.429,0.268,0.3,10
M,0.69,0.55,large,1.777,0.769,0.38,0.4305,11
M,0.59,0.47,medium,0.861,0.413,0.16399999999999998,0.249,8
I,0.525,0.405,medium,0.6965,0.3045,0.1535,0.21,8
M,0.645,0.51,medium,1.33,0.6665,0.309,0.317,9
M,0.635,0.51,medium,0.986,0.405,0.2255,0.31,10
I,0.435,0.32,tiny,0.3325,0.1485,0.0635,0.105,9
F,0.73,0.55,large,1.9080000000000001,0.5415,0.3565,0.5965,14
I,0.515,0.385,small,0.6115,0.3175,0.1265,0.15,8
